Wolf,2,2,3,N/A
Bullfrog,1,2,1,mighty leap
Wolf Cub,1,1,1,fledgling
Mantis God,1,1,1,trifuricated strike
Mantis,1,1,1,bifurcated strike
Warren,1,1,0,rabbit hole
Stoat,1,2,1,N/A
River Snapper,2,3,1,N/A
Raven Egg,1,2,0,fledgling
Adder,2,1,1,touch of death
Rat King,2,1,2,N/A
opossum,1,1,1,N/A
coyote,2,1,2,N/A
stinkbug,1,2,1,stinky
Wolf,2,2,3,N/A
Bullfrog,1,2,1,mighty leap
Wolf Cub,1,1,1,fledgling
Mantis God,1,1,1,trifuricated strike
Mantis,1,1,1,bifurcated strike
Warren,1,1,0,rabbit hole
Stoat,1,2,1,N/A
River Snapper,2,3,1,N/A
Raven Egg,1,2,0,fledgling
Adder,2,1,1,touch of death
Rat King,2,1,2,N/A
opossum,1,1,1,N/A
coyote,2,1,2,N/A
stinkbug,1,2,1,stinky
Wolf,2,2,3,N/A
Bullfrog,1,2,1,mighty leap
Wolf Cub,1,1,1,fledgling
Mantis God,1,1,1,trifuricated strike
Mantis,1,1,1,bifurcated strike
Warren,1,1,0,rabbit hole
Stoat,1,2,1,N/A
River Snapper,2,3,1,N/A
Raven Egg,1,2,0,fledgling
Adder,2,1,1,touch of death
Rat King,2,1,2,N/A
opossum,1,1,1,N/A
coyote,2,1,2,N/A
stinkbug,1,2,1,stinky
Wolf,2,2,3,N/A
Bullfrog,1,2,1,mighty leap
Wolf Cub,1,1,1,fledgling
Mantis God,1,1,1,trifuricated strike
Mantis,1,1,1,bifurcated strike
Warren,1,1,0,rabbit hole
Stoat,1,2,1,N/A
River Snapper,2,3,1,N/A
Raven Egg,1,2,0,fledgling
Adder,2,1,1,touch of death
Rat King,2,1,2,N/A
opossum,1,1,1,N/A
coyote,2,1,2,N/A
stinkbug,1,2,1,stinky
